Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
FLAG_OWN_REALTY,0,2,1,0,3,0,0,9,1.875
CNT_CHILDREN_0,2,6,8,2,0,2,5,12,4.625
CNT_CHILDREN_1,0,0,21,3,2,0,0,0,3.25
CNT_CHILDREN_2+,0,0,2,7,0,1,1,11,2.75
NAME_TYPE_SUITE,3,0,10,2,2,0,5,29,6.375
NAME_INCOME_TYPE_Commercial associate,6,11,14,15,31,18,5,14,14.25
NAME_INCOME_TYPE_Maternity leave,0,0,0,0,0,0,0,0,0.0
NAME_INCOME_TYPE_State servant,16,1,16,19,14,14,0,43,15.375
NAME_INCOME_TYPE_Working,31,36,39,13,16,21,22,52,28.75
NAME_EDUCATION_TYPE_Academic degree,0,0,18,0,0,0,0,0,2.25
NAME_EDUCATION_TYPE_Higher education,71,85,85,37,53,40,61,64,62.0
NAME_EDUCATION_TYPE_Incomplete higher,0,3,22,2,0,0,3,1,3.875
NAME_EDUCATION_TYPE_Lower secondary,1,1,7,4,5,1,4,10,4.125
NAME_EDUCATION_TYPE_Secondary / secondary special,47,48,54,54,27,51,52,43,47.0
NAME_FAMILY_STATUS_Civil marriage,3,15,29,13,15,7,23,10,14.375
NAME_FAMILY_STATUS_Married,133,117,123,127,115,131,101,139,123.25
NAME_FAMILY_STATUS_Separated,5,0,10,2,0,0,3,2,2.75
NAME_FAMILY_STATUS_Single / not married,13,29,65,40,15,14,27,58,32.625
NAME_FAMILY_STATUS_Unknown,0,0,0,0,0,0,0,0,0.0
NAME_FAMILY_STATUS_Widow,6,0,3,7,0,2,1,18,4.625
NAME_HOUSING_TYPE_Co-op apartment,0,3,0,0,0,0,0,0,0.375
NAME_HOUSING_TYPE_House / apartment,0,1,14,4,0,13,7,21,7.5
NAME_HOUSING_TYPE_Municipal apartment,10,7,18,0,0,15,2,29,10.125
NAME_HOUSING_TYPE_Office apartment,6,9,1,8,2,4,1,2,4.125
NAME_HOUSING_TYPE_Rented apartment,3,6,0,1,5,0,1,0,2.0
