Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
ORGANIZATION_TYPE_Advertising,0,0,0,0,0,0,0,2,0.25
ORGANIZATION_TYPE_Agriculture,0,0,0,0,0,2,0,0,0.25
ORGANIZATION_TYPE_Bank,0,0,9,0,0,16,2,19,5.75
ORGANIZATION_TYPE_Business Entity Type 1,2,0,2,0,5,0,0,3,1.5
ORGANIZATION_TYPE_Business Entity Type 2,0,8,6,0,9,5,2,15,5.625
ORGANIZATION_TYPE_Business Entity Type 3,0,6,9,4,22,16,0,15,9.0
ORGANIZATION_TYPE_Cleaning,0,0,0,0,0,0,0,0,0.0
ORGANIZATION_TYPE_Construction,23,9,22,3,1,24,34,3,14.875
ORGANIZATION_TYPE_Government,0,0,1,0,1,0,2,0,0.5
ORGANIZATION_TYPE_Housing,7,0,0,6,0,0,0,8,2.625
ORGANIZATION_TYPE_Industry,0,3,0,1,0,0,5,4,1.625
ORGANIZATION_TYPE_Kindergarten,28,28,56,21,67,22,26,46,36.75
ORGANIZATION_TYPE_Medicine,4,7,0,2,5,0,4,0,2.75
ORGANIZATION_TYPE_Military,6,0,1,4,4,10,1,2,3.5
ORGANIZATION_TYPE_Other,1,2,0,0,0,2,0,1,0.75
ORGANIZATION_TYPE_Police,3,0,15,0,0,2,5,0,3.125
ORGANIZATION_TYPE_Postal,0,0,0,0,0,7,0,0,0.875
ORGANIZATION_TYPE_Realtor,17,27,11,0,25,27,7,3,14.625
ORGANIZATION_TYPE_Restaurant,0,0,0,0,0,4,0,0,0.5
ORGANIZATION_TYPE_School,55,37,47,32,35,22,18,41,35.875
ORGANIZATION_TYPE_Security,5,5,7,5,0,0,0,0,2.75
ORGANIZATION_TYPE_Security Ministries,0,0,5,0,0,15,0,0,2.5
ORGANIZATION_TYPE_Self-employed,69,76,86,60,83,92,47,70,72.875
ORGANIZATION_TYPE_Services,0,0,1,4,0,6,4,3,2.25
ORGANIZATION_TYPE_Trade,6,2,0,0,0,0,1,0,1.125
ORGANIZATION_TYPE_Transport,26,3,19,37,27,29,55,36,29.0
ORGANIZATION_TYPE_University,0,0,0,0,1,0,0,0,0.125
WALLSMATERIAL_MODE_Block,6,2,0,5,0,0,0,0,1.625
WALLSMATERIAL_MODE_Mixed,0,4,0,1,9,0,0,0,1.75
WALLSMATERIAL_MODE_Monolithic,0,0,5,0,0,0,0,0,0.625
WALLSMATERIAL_MODE_Others,0,0,2,1,0,0,0,0,0.375
WALLSMATERIAL_MODE_Panel,3,11,0,0,0,0,4,0,2.25
"WALLSMATERIAL_MODE_Stone, brick",1,6,9,0,14,15,27,5,9.625
WALLSMATERIAL_MODE_Wooden,0,0,0,0,0,0,0,0,0.0
TRAIN_DATA_LR_PREDS,1090,1017,1102,1012,1040,1017,1185,1068,1066.375
MAX_DAYS_OVERDUE,40,51,89,20,11,57,70,55,49.125
AVG_DAYS_OVERDUE,42,30,34,23,34,51,9,32,31.875
MAX_CREDIT_OVERDUE,109,86,102,76,112,57,99,154,99.375
AVG_CREDIT_OVERDUE,127,144,148,122,93,141,127,82,123.0
NUM_TIMES_PROLONGED,21,53,44,10,19,43,49,62,37.625
TOTAL_CURRENT_CREDIT_AMT,606,403,761,482,543,536,725,641,587.125
TOTAL_CURRENT_CREDIT_DEBT,645,649,722,558,593,702,692,694,656.875
TOTAL_CURRENT_CREDIT_LIMIT,272,179,227,202,183,189,245,271,221.0
BUREAU_OLDEST_MONTH,172,77,229,98,175,147,133,157,148.5
BUREAU_NEWEST_MONTH,76,47,65,41,41,15,59,39,47.875
BUREAU_OLDEST_APP,205,237,213,230,278,174,253,319,238.625
BUREAU_NEWEST_APP,582,576,734,571,655,614,659,654,630.625
BUREAU_AVG_APP_AGE,288,210,262,134,222,270,247,283,239.5
BUREAU_OLDEST_UPDATE,257,169,246,161,158,173,204,193,195.125
BUREAU_NEWEST_UPDATE,318,276,338,242,273,263,299,325,291.75
OLDEST_CREDIT_ENDDATE,349,208,315,143,250,296,308,325,274.25
NEWEST_CREDIT_ENDDATE,682,725,885,615,725,739,855,792,752.25
TOTAL_BUREAU_BALANCE_ENTIRES,129,119,184,123,102,157,200,152,145.75
AVG_NUM_BUREAU_BALANCE_ENTRIES,213,235,189,183,174,204,271,252,215.125
BUREAU_CREDIT_COUNT,133,104,138,94,157,108,114,163,126.375
NUM_BBAL_STATUS_0,166,145,198,64,140,120,153,129,139.375
NUM_BBAL_STATUS_1,117,111,79,112,95,100,46,120,97.5
NUM_BBAL_STATUS_2,47,21,23,7,10,56,43,29,29.5
NUM_BBAL_STATUS_3,24,3,0,0,1,0,5,7,5.0
NUM_BBAL_STATUS_4,1,18,13,5,0,20,9,10,9.5
NUM_BBAL_STATUS_5,12,17,31,3,15,2,19,7,13.25
NUM_BBAL_STATUS_C,139,93,189,81,89,138,132,97,119.75
NUM_BBAL_STATUS_X,98,75,174,51,135,161,89,143,115.75
NUM_CREDIT_TYPE_Another type of loan,0,0,0,0,0,0,0,0,0.0
NUM_CREDIT_TYPE_Car loan,30,37,38,32,49,37,32,38,36.625
NUM_CREDIT_TYPE_Consumer credit,85,49,116,34,58,106,165,91,88.0
NUM_CREDIT_TYPE_Credit card,109,77,109,72,55,133,112,99,95.75
NUM_CREDIT_TYPE_Microloan,11,11,4,20,20,16,0,1,10.375
NUM_CREDIT_TYPE_Mortgage,65,0,53,20,2,36,50,2,28.5
FRAC_CREDIT_TYPE_Another type of loan,22,20,53,2,55,41,42,44,34.875
FRAC_CREDIT_TYPE_Car loan,96,66,145,87,59,109,98,100,95.0
FRAC_CREDIT_TYPE_Consumer credit,116,164,183,74,64,85,124,95,113.125
FRAC_CREDIT_TYPE_Credit card,119,75,167,62,97,86,124,78,101.0
FRAC_CREDIT_TYPE_Microloan,104,125,115,92,87,115,136,129,112.875
FRAC_CREDIT_TYPE_Mortgage,133,162,121,134,176,155,156,177,151.75
NUM_CREDIT_ACTIVE_Active,129,118,140,121,152,138,133,183,139.25
NUM_CREDIT_ACTIVE_Bad debt,0,0,0,0,0,0,0,0,0.0
NUM_CREDIT_ACTIVE_Closed,122,170,116,55,119,138,113,95,116.0
NUM_CREDIT_ACTIVE_Sold,0,0,0,1,0,10,4,0,1.875
FRAC_CREDIT_ACTIVE_Active,83,97,79,45,80,60,85,78,75.875
FRAC_CREDIT_ACTIVE_Bad debt,0,0,0,0,0,0,0,0,0.0
FRAC_CREDIT_ACTIVE_Closed,104,58,56,89,103,89,36,53,73.5
FRAC_CREDIT_ACTIVE_Sold,69,39,34,8,40,19,50,52,38.875
NUM_BUREAU_APP_60_DAYS,67,36,47,7,46,5,27,2,29.625
NUM_BUREAU_APP_120_DAYS,45,7,57,25,33,17,26,31,30.125
NUM_BUREAU_APP_365_DAYS,60,113,107,41,60,102,101,154,92.25
BUREAU_LR_PREDS,760,657,749,548,561,661,733,662,666.375
MIN_AMT_ANNUITY,270,225,289,165,228,296,334,263,258.75
MAX_AMT_ANNUITY,192,143,241,153,183,217,230,149,188.5
AVG_AMT_ANNUITY,326,295,409,250,262,311,321,330,313.0
TOTAL_AMT_ANNUITY,110,110,166,148,108,136,127,153,132.25
MAX_CREDIT_RECEIVED,139,166,211,124,212,261,214,155,185.25
MIN_CREDIT_RECEIVED,94,80,83,66,157,82,120,108,98.75
AVG_CREDIT_RECEIVED,176,157,190,136,174,225,163,151,171.5
TOTAL_CREDIT_RECEIVED,170,150,226,108,117,156,169,201,162.125
MIN_AMT_APPLICATION,104,79,88,45,32,46,95,61,68.75
MAX_AMT_APPLICATION,143,143,200,114,131,149,208,210,162.25
AVG_AMT_APPLICATION,230,204,247,132,191,220,227,254,213.125
TOTAL_AMT_APPLICATION,160,174,190,151,179,184,170,156,170.5
LOG_AVG_AMT_APPLICATION,242,181,186,143,228,218,190,217,200.625
MAX_APP_CREDIT_DIFF,249,192,250,221,255,170,245,245,228.375
MIN_APP_CREDIT_DIFF,232,173,179,157,182,180,257,217,197.125
MIN_APP_CREDIT_RATIO,364,309,472,270,282,426,319,336,347.25
AMEAN_APP_CREDIT_RATIO,327,244,313,205,273,191,312,301,270.75
MAX_APP_CREDIT_RATIO,235,273,361,209,182,245,294,312,263.875
LAST_DECISION_DATE,443,265,395,285,301,352,388,430,357.375
NUM_APPS_IN_ON_LAST_DAY,16,26,30,6,29,31,22,33,24.125
MIN_AMT_DOWN_PAYMENT,158,84,149,52,143,93,119,146,118.0
MAX_AMT_DOWN_PAYMENT,255,204,232,188,184,201,197,235,212.0
AVG_AMT_DOWN_PAYMENT,182,138,230,159,247,186,216,198,194.5
OLDEST_TERMINATION_DATE,347,264,307,213,294,279,375,286,295.625
NEWEST_TERMINATION_DATE,579,589,638,486,506,575,717,611,587.625
NUMBER_APPLICATIONS,25,27,16,29,27,17,22,26,23.625
NUM_CONTRACT_STATUS_Approved,38,45,40,17,48,80,34,41,42.875
NUM_CONTRACT_STATUS_Canceled,32,27,128,38,64,77,87,95,68.5
NUM_CONTRACT_STATUS_Refused,86,101,81,37,64,70,81,67,73.375
NUM_CONTRACT_STATUS_Unused offer,11,19,8,22,5,4,1,5,9.375
FRAC_CONTRACT_STATUS_Approved,143,123,178,132,85,80,138,154,129.125
FRAC_CONTRACT_STATUS_Canceled,155,61,131,123,124,107,117,108,115.75
FRAC_CONTRACT_STATUS_Refused,265,196,274,223,204,177,218,241,224.75
FRAC_CONTRACT_STATUS_Unused offer,29,17,60,25,29,29,32,35,32.0
