Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
ORGANIZATION_TYPE_Cleaning,0,2,0,0,0,0,0,0,0.25
ORGANIZATION_TYPE_Construction,19,69,39,19,5,22,28,49,31.25
ORGANIZATION_TYPE_Culture,0,0,0,0,0,0,0,0,0.0
ORGANIZATION_TYPE_Electricity,0,0,0,0,1,0,0,0,0.125
ORGANIZATION_TYPE_Emergency,0,0,0,2,0,0,0,1,0.375
ORGANIZATION_TYPE_Government,13,1,0,9,0,2,6,9,5.0
ORGANIZATION_TYPE_Hotel,14,13,0,0,13,11,0,2,6.625
ORGANIZATION_TYPE_Housing,39,33,21,26,0,27,0,26,21.5
ORGANIZATION_TYPE_Industry: type 1,0,0,7,10,1,0,0,18,4.5
ORGANIZATION_TYPE_Industry: type 10,0,0,0,0,0,0,0,0,0.0
ORGANIZATION_TYPE_Industry: type 11,8,11,6,20,8,14,12,19,12.25
ORGANIZATION_TYPE_Industry: type 12,24,28,35,0,0,32,42,18,22.375
ORGANIZATION_TYPE_Industry: type 13,0,0,0,0,0,0,0,0,0.0
ORGANIZATION_TYPE_Industry: type 2,0,0,0,0,0,0,0,0,0.0
ORGANIZATION_TYPE_Industry: type 3,2,5,1,0,0,5,4,1,2.25
ORGANIZATION_TYPE_Industry: type 4,11,0,1,0,10,5,7,16,6.25
ORGANIZATION_TYPE_Industry: type 5,8,0,0,0,0,3,0,8,2.375
ORGANIZATION_TYPE_Industry: type 6,0,0,0,0,0,0,0,11,1.375
ORGANIZATION_TYPE_Industry: type 7,2,0,13,0,10,0,3,0,3.5
ORGANIZATION_TYPE_Industry: type 8,0,0,0,0,0,0,0,0,0.0
ORGANIZATION_TYPE_Industry: type 9,22,38,22,7,25,16,24,16,21.25
ORGANIZATION_TYPE_Insurance,8,0,0,0,1,9,0,0,2.25
ORGANIZATION_TYPE_Kindergarten,10,7,23,27,4,35,6,25,17.125
ORGANIZATION_TYPE_Legal Services,0,1,16,13,26,21,0,45,15.25
ORGANIZATION_TYPE_Medicine,3,5,0,6,14,5,1,1,4.375
ORGANIZATION_TYPE_Military,67,77,82,56,68,66,66,71,69.125
ORGANIZATION_TYPE_Mobile,0,0,0,0,0,0,8,0,1.0
ORGANIZATION_TYPE_Other,0,14,6,0,0,0,0,0,2.5
ORGANIZATION_TYPE_Police,33,21,21,33,22,18,24,37,26.125
ORGANIZATION_TYPE_Postal,13,30,0,5,5,35,6,5,12.375
ORGANIZATION_TYPE_Realtor,33,12,18,32,15,32,17,8,20.875
ORGANIZATION_TYPE_Religion,0,0,0,0,0,0,0,0,0.0
ORGANIZATION_TYPE_Restaurant,0,0,0,0,0,0,5,0,0.625
ORGANIZATION_TYPE_School,36,48,79,64,48,51,27,48,50.125
ORGANIZATION_TYPE_Security,47,50,30,12,35,62,37,51,40.5
ORGANIZATION_TYPE_Security Ministries,25,10,15,6,19,27,25,30,19.625
ORGANIZATION_TYPE_Self-employed,121,99,102,77,87,109,59,88,92.75
ORGANIZATION_TYPE_Services,0,1,8,3,1,0,0,3,2.0
ORGANIZATION_TYPE_Telecom,0,0,7,0,2,0,1,12,2.75
ORGANIZATION_TYPE_Trade: type 1,0,0,6,0,1,0,0,3,1.25
ORGANIZATION_TYPE_Trade: type 2,0,3,11,2,0,5,0,5,3.25
ORGANIZATION_TYPE_Trade: type 3,6,11,8,13,2,7,0,9,7.0
ORGANIZATION_TYPE_Trade: type 4,0,11,0,0,0,4,0,0,1.875
ORGANIZATION_TYPE_Trade: type 5,0,0,0,0,0,0,0,0,0.0
ORGANIZATION_TYPE_Trade: type 6,0,24,1,1,2,0,0,14,5.25
ORGANIZATION_TYPE_Trade: type 7,2,14,10,2,5,1,1,9,5.5
ORGANIZATION_TYPE_Transport: type 1,0,0,0,0,0,0,0,8,1.0
ORGANIZATION_TYPE_Transport: type 2,5,13,8,8,0,6,0,35,9.375
ORGANIZATION_TYPE_Transport: type 3,44,70,58,64,42,62,26,82,56.0
ORGANIZATION_TYPE_Transport: type 4,0,7,3,21,8,0,0,0,4.875
ORGANIZATION_TYPE_University,2,6,1,0,4,1,3,0,2.125
ORGANIZATION_TYPE_XNA,0,1,0,0,0,0,0,0,0.125
TRAIN_DATA_LR_PREDS,1185,1299,1136,1184,1192,1270,949,1587,1225.25
MAX_DAYS_OVERDUE,49,108,98,71,53,62,54,131,78.25
AVG_DAYS_OVERDUE,44,39,21,55,58,41,31,16,38.125
MAX_CREDIT_OVERDUE,136,123,110,113,154,132,103,156,128.375
AVG_CREDIT_OVERDUE,95,141,123,146,109,118,153,124,126.125
NUM_TIMES_PROLONGED,58,57,53,83,61,74,23,88,62.125
TOTAL_CURRENT_CREDIT_AMT,876,1111,843,877,865,927,646,1031,897.0
TOTAL_CURRENT_CREDIT_DEBT,854,1049,888,979,1055,1045,829,1219,989.75
BUREAU_OLDEST_MONTH,400,491,457,486,424,405,304,576,442.875
BUREAU_NEWEST_MONTH,95,133,112,144,165,179,138,177,142.875
BUREAU_OLDEST_APPL,534,543,500,467,371,524,274,536,468.625
BUREAU_NEWEST_APP,1155,1240,1236,1062,1117,1276,925,1535,1193.25
BUREAU_AVG_APP_AGE,624,726,573,505,596,563,401,930,614.75
BUREAU_OLDEST_UPDATE,450,538,391,372,492,492,311,751,474.625
BUREAU_NEWEST_UPDATE,630,800,563,557,607,542,409,830,617.25
OLDEST_CREDIT_ENDDATE,656,753,515,537,561,538,392,789,592.625
